date,value,sourceName
2022-12-02 03:48:00 +0100,68,Alpha Watch
2022-12-02 03:49:00 +0100,67,Alpha Watch
2022-12-02 03:50:00 +0100,66,Alpha Watch
2022-12-02 03:51:00 +0100,65,Alpha Watch
2022-12-02 03:52:00 +0100,65,Alpha Watch
2022-12-02 03:54:00 +0100,69,Alpha Watch
2022-12-02 03:55:00 +0100,70,Alpha Watch
2022-12-02 03:56:00 +0100,70,Alpha Watch
2022-12-02 03:57:00 +0100,66,Alpha Watch
2022-12-02 03:58:00 +0100,68,Alpha Watch
2022-12-02 03:59:00 +0100,67,Alpha Watch
2022-12-02 04:00:00 +0100,65,Alpha Watch
2022-12-02 04:01:00 +0100,67,Alpha Watch
2022-12-02 04:02:00 +0100,66,Alpha Watch
2022-12-02 04:04:00 +0100,68,Alpha Watch
2022-12-02 04:05:00 +0100,68,Alpha Watch
2022-12-02 04:06:00 +0100,68,Alpha Watch
2022-12-02 04:07:00 +0100,65,Alpha Watch
2022-12-02 04:08:00 +0100,67,Alpha Watch
2022-12-02 04:09:00 +0100,66,Alpha Watch
2022-12-02 04:10:00 +0100,65,Alpha Watch
2022-12-02 04:11:00 +0100,67,Alpha Watch
2022-12-02 04:12:00 +0100,68,Alpha Watch
2022-12-02 04:14:00 +0100,72,Alpha Watch
2022-12-02 04:15:00 +0100,72,Alpha Watch
2022-12-02 04:16:00 +0100,70,Alpha Watch
2022-12-02 04:17:00 +0100,72,Alpha Watch
2022-12-02 04:18:00 +0100,68,Alpha Watch
2022-12-02 04:19:00 +0100,68,Alpha Watch
2022-12-02 04:20:00 +0100,68,Alpha Watch
2022-12-02 04:21:00 +0100,69,Alpha Watch
2022-12-02 04:22:00 +0100,67,Alpha Watch
2022-12-02 04:24:00 +0100,69,Alpha Watch
2022-12-02 04:25:00 +0100,68,Alpha Watch
2022-12-02 04:26:00 +0100,68,Alpha Watch
2022-12-02 04:27:00 +0100,70,Alpha Watch
2022-12-02 04:28:00 +0100,69,Alpha Watch
2022-12-02 04:29:00 +0100,69,Alpha Watch
2022-12-02 04:30:00 +0100,70,Alpha Watch
2022-12-02 04:31:00 +0100,69,Alpha Watch
2022-12-02 04:32:00 +0100,70,Alpha Watch
2022-12-02 04:34:00 +0100,69,Alpha Watch
2022-12-02 04:35:00 +0100,73,Alpha Watch
2022-12-02 04:36:00 +0100,75,Alpha Watch
2022-12-02 04:37:00 +0100,74,Alpha Watch
